"brand","count"
"SAMSUNG",1012
"LG",641
"KOGAN",606
"HISENSE",208
"EKO",198
"PHILIPS",157
"BLAUPUNKT",123
"JVC",103
"TCL",100
"CAIXUN",94
"SONY",90
"BAUHN",85
"PANASONIC",62
"LINSAR",47
"CHIQ",45
"AKAI",39
"TOSHIBA",37
"SYLVOX",34
"ENGLAON",31
"VEON",31
"KONKA",30
"TEAC",29
"WALTON",24
"FFALCON",21
"POLAROID",21
"AIWA",19
"KONIC",15
"ILUMA",14
"LOEWE",14
"SPHERE",13
"TECO",12
"HYUNDAI",11
"SHARP",11
"SONIQ",11
"QBELL",9
"SKYWORTH",9
"HITACHI",8
"PRISM+",8
"SVISION",8
"DEVANTI",7
"DGTEC",7
"METZ",7
"THOMSON",7
"ALTIUS",6
"GORILLA",6
"SMTV",6
"KODAK",5
"SMARTTECH",5
"AOA",4
"FURRION",4
"MONSTER",4
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"YOKOHAMA",4
"AVEL INNOVATIONS",3
"HUBBL GLASS",3
"MYVI",3
"TELEFUNKEN",3
"PALSONIC",2
"STARVISION",2
"VIANO",2
"ARK",1
"BROOKLYN",1
"CONCENTRIC CARE",1
"DECAMAX",1
"DYNALINK",1
"ELITELUX",1
"LAD",1
"LSP TV",1
"MITSUMARU",1
"S VISION",1
"SHARETV",1
"SIGNIFY",1
"STAN CASH",1
"TAVICE",1
"VDT",1
